Task;TestCase;Algorithm;MetricValue
1;seq6_frame000.png;tracker.csv;0.314229906677277
1;seq6_frame001.png;tracker.csv;0.314229906677277
1;seq6_frame002.png;tracker.csv;0.3119413018293119
1;seq6_frame003.png;tracker.csv;0.3128460444780885
1;seq6_frame004.png;tracker.csv;0.29011004665408313
1;seq6_frame005.png;tracker.csv;0.0
1;seq6_frame006.png;tracker.csv;0.3082805627292131
1;seq6_frame007.png;tracker.csv;0.3081543000252201
1;seq6_frame008.png;tracker.csv;0.28834009451716786
1;seq6_frame009.png;tracker.csv;0.30210009769209484
1;seq6_frame010.png;tracker.csv;0.2293073477301598
1;seq6_frame011.png;tracker.csv;0.4576994444703407
1;seq6_frame012.png;tracker.csv;0.06650304493910122
1;seq6_frame013.png;tracker.csv;0.12083114938225384
1;seq6_frame014.png;tracker.csv;0.07352577092712985
1;seq6_frame015.png;tracker.csv;0.4573169810247582
1;seq6_frame016.png;tracker.csv;0.45476211349879264
1;seq6_frame017.png;tracker.csv;0.4374432341682441
1;seq6_frame018.png;tracker.csv;0.28667283490924406
1;seq6_frame019.png;tracker.csv;0.5672307068157565
1;seq6_frame020.png;tracker.csv;0.0
1;seq6_frame021.png;tracker.csv;0.3883272883188819
1;seq6_frame022.png;tracker.csv;0.20256986963222123
1;seq6_frame023.png;tracker.csv;0.20322724972925055
1;seq6_frame024.png;tracker.csv;0.30822080726021883
1;seq6_frame025.png;tracker.csv;0.2160605466661915
1;seq6_frame026.png;tracker.csv;0.5577289488148217
1;seq6_frame027.png;tracker.csv;0.5847795977431637
1;seq6_frame028.png;tracker.csv;0.39122966290040034
1;seq6_frame029.png;tracker.csv;0.6000886604748684
1;seq6_frame030.png;tracker.csv;0.598458368191887
1;seq6_frame031.png;tracker.csv;0.5829990335214775
1;seq6_frame032.png;tracker.csv;0.5903147009007921
1;seq6_frame033.png;tracker.csv;0.29428925045128623
1;seq6_frame034.png;tracker.csv;0.2252705177293158
1;seq6_frame035.png;tracker.csv;0.2851763773285771
1;seq6_frame036.png;tracker.csv;0.3286875574794717
1;seq6_frame037.png;tracker.csv;0.39064726246411396
1;seq6_frame038.png;tracker.csv;0.49475331931563127
1;seq6_frame039.png;tracker.csv;0.1971552857865453
1;seq6_frame040.png;tracker.csv;0.16726449836830687
1;seq6_frame041.png;tracker.csv;0.8808133118237951
1;seq6_frame042.png;tracker.csv;0.30759630925346265
1;seq6_frame043.png;tracker.csv;0.3211554658239942
1;seq6_frame044.png;tracker.csv;0.23372027408303103
1;seq6_frame045.png;tracker.csv;0.8823081942180706
1;seq6_frame046.png;tracker.csv;0.4581376266977791
1;seq6_frame047.png;tracker.csv;0.6111757003381664
1;seq6_frame048.png;tracker.csv;0.45104142689626114
1;seq6_frame049.png;tracker.csv;0.43330982283992187
1;seq6_frame050.png;tracker.csv;0.3058910349608619
1;seq6_frame051.png;tracker.csv;0.6165234251844985
1;seq6_frame052.png;tracker.csv;0.6147248853529568
1;seq6_frame053.png;tracker.csv;0.6168848717293344
1;seq6_frame054.png;tracker.csv;0.6173788690921653
1;seq6_frame055.png;tracker.csv;0.6147049755138808
1;seq6_frame056.png;tracker.csv;0.6096120293399611
1;seq6_frame057.png;tracker.csv;0.6128648476895798
1;seq6_frame058.png;tracker.csv;0.2332775343749139
1;seq6_frame059.png;tracker.csv;0.16430657669453116
1;seq6_frame060.png;tracker.csv;0.20410162421791064
1;seq6_frame061.png;tracker.csv;0.2815027518545106
1;seq6_frame062.png;tracker.csv;0.15028548123980423
1;seq6_frame063.png;tracker.csv;0.2295919776789414
1;seq6_frame064.png;tracker.csv;0.165376301827471
1;seq6_frame065.png;tracker.csv;0.3294401220165412
1;seq6_frame066.png;tracker.csv;0.4549912487803798
1;seq6_frame067.png;tracker.csv;0.3294288622172506
1;seq6_frame068.png;tracker.csv;0.3066857248247879
1;seq6_frame069.png;tracker.csv;0.21439117595970122
1;seq6_frame070.png;tracker.csv;0.2296218241423721
1;seq6_frame071.png;tracker.csv;0.3328701897495104
1;seq6_frame072.png;tracker.csv;0.8860160301307776
1;seq6_frame073.png;tracker.csv;0.37038543600891827
1;seq6_frame074.png;tracker.csv;0.3474602328026933
1;seq6_frame075.png;tracker.csv;0.8908383785077056
1;seq6_frame076.png;tracker.csv;0.9075368250023964
1;seq6_frame077.png;tracker.csv;0.9087222810155421
1;seq6_frame078.png;tracker.csv;0.3755121231803649
1;seq6_frame079.png;tracker.csv;0.3882464704393345
1;seq6_frame080.png;tracker.csv;0.3920964197199339
1;seq6_frame081.png;tracker.csv;0.39902262050485643
1;seq6_frame082.png;tracker.csv;0.39379918296198496
1;seq6_frame083.png;tracker.csv;0.3935401567755912
1;seq6_frame084.png;tracker.csv;0.38852032829923755
1;seq6_frame085.png;tracker.csv;0.39082849236593686
1;seq6_frame086.png;tracker.csv;0.9132956529020574
1;seq6_frame087.png;tracker.csv;0.9129489502574114
1;seq6_frame088.png;tracker.csv;0.9209629679344773
1;seq6_frame089.png;tracker.csv;0.9024338919278326
1;seq6_frame090.png;tracker.csv;0.5948166971439852
1;seq6_frame091.png;tracker.csv;0.5956044908524456
1;seq6_frame092.png;tracker.csv;0.5985400723818524
1;seq6_frame093.png;tracker.csv;0.5988541102170112
1;seq6_frame094.png;tracker.csv;0.5896961941735236
1;seq6_frame095.png;tracker.csv;0.9019871462331895
1;seq6_frame096.png;tracker.csv;0.5947643581661003
1;seq6_frame097.png;tracker.csv;0.9122092906544857
1;seq6_frame098.png;tracker.csv;0.8861856602654651
1;seq6_frame099.png;tracker.csv;0.8950053249619342
1;seq6_frame100.png;tracker.csv;0.9000391535602198
1;seq6_frame101.png;tracker.csv;0.5820590696709167
1;seq6_frame102.png;tracker.csv;0.5935410252458851
1;seq6_frame103.png;tracker.csv;0.9024010356544915
1;seq6_frame104.png;tracker.csv;0.190208004631096
1;seq6_frame105.png;tracker.csv;0.9123985981463392
1;seq6_frame106.png;tracker.csv;0.9044569354815878
1;seq6_frame107.png;tracker.csv;0.8900839108702692
1;seq6_frame108.png;tracker.csv;0.9045937176623612
1;seq6_frame109.png;tracker.csv;0.8909908532706421
1;seq6_frame110.png;tracker.csv;0.9009894872102099
1;seq6_frame111.png;tracker.csv;0.9024343506741838
1;seq6_frame112.png;tracker.csv;0.894012610819639
1;seq6_frame113.png;tracker.csv;0.9074715567535977
1;seq6_frame114.png;tracker.csv;0.9148781774846567
1;seq6_frame115.png;tracker.csv;0.9050193132077817
1;seq6_frame116.png;tracker.csv;0.909782582775204
1;seq6_frame117.png;tracker.csv;0.8778992159079023
1;seq6_frame118.png;tracker.csv;0.6176720641652885
1;seq6_frame119.png;tracker.csv;0.61268382095737
1;seq6_frame120.png;tracker.csv;0.6201044262150689
1;seq6_frame121.png;tracker.csv;0.89361352041988
1;seq6_frame122.png;tracker.csv;0.6101280641377429
1;seq6_frame123.png;tracker.csv;0.6147822226167502
1;seq6_frame124.png;tracker.csv;0.6088419184186232
1;seq6_frame125.png;tracker.csv;0.6157674292104939
1;seq6_frame126.png;tracker.csv;0.6143564850247882
1;seq6_frame127.png;tracker.csv;0.25268988518199875
1;seq6_frame128.png;tracker.csv;0.30120101724489984
1;seq6_frame129.png;tracker.csv;0.45729872800670274
1;seq6_frame130.png;tracker.csv;0.44558682172003694
1;seq6_frame131.png;tracker.csv;0.29898603405395063
1;seq6_frame132.png;tracker.csv;0.4640293631517277
1;seq6_frame133.png;tracker.csv;0.46187943941704274
1;seq6_frame134.png;tracker.csv;0.3074232183090241
1;seq6_frame135.png;tracker.csv;0.30732134694499463
1;seq6_frame136.png;tracker.csv;0.46357918899426914
1;seq6_frame137.png;tracker.csv;0.3076583266689516
1;seq6_frame138.png;tracker.csv;0.30610020117847697
1;seq6_frame139.png;tracker.csv;0.45840317968400374
1;seq6_frame140.png;tracker.csv;0.45999508388127575
1;seq6_frame141.png;tracker.csv;0.45901382509610317
1;seq6_frame142.png;tracker.csv;0.45938375350140054
1;seq6_frame143.png;tracker.csv;0.4623352528176387
1;seq6_frame144.png;tracker.csv;0.4580500155398388
1;seq6_frame145.png;tracker.csv;0.4577382950701134
1;seq6_frame146.png;tracker.csv;0.46472677582842353
1;seq6_frame147.png;tracker.csv;0.31101184397979503
1;seq6_frame148.png;tracker.csv;0.3009106064286971
1;seq6_frame149.png;tracker.csv;0.887683146044551
1;seq6_frame150.png;tracker.csv;0.8949919148382397
1;seq6_frame151.png;tracker.csv;0.44365815950800563
1;seq6_frame152.png;tracker.csv;0.9137741684708962
1;seq6_frame153.png;tracker.csv;0.909281978715648
1;seq6_frame154.png;tracker.csv;0.9176904752003302
1;seq6_frame155.png;tracker.csv;0.9274180556090597
1;seq6_frame156.png;tracker.csv;0.9306312483949963
1;seq6_frame157.png;tracker.csv;0.46803477816136047
1;seq6_frame158.png;tracker.csv;0.9232191195580759
1;seq6_frame159.png;tracker.csv;0.93590649432522
1;seq6_frame160.png;tracker.csv;0.8915183500703019
1;seq6_frame161.png;tracker.csv;0.8727878795627477
1;seq6_frame162.png;tracker.csv;0.927365679481654
1;seq6_frame163.png;tracker.csv;0.9258071313101948
1;seq6_frame164.png;tracker.csv;0.9241069622590444
1;seq6_frame165.png;tracker.csv;0.4496884686214693
1;seq6_frame166.png;tracker.csv;0.28816138838650096
1;seq6_frame167.png;tracker.csv;0.31496747892399096
1;seq6_frame168.png;tracker.csv;0.9122306279763275
1;seq6_frame169.png;tracker.csv;0.446479827135808
1;seq6_frame170.png;tracker.csv;0.9166989409065143
1;seq6_frame171.png;tracker.csv;0.2837408652215473
1;seq6_frame172.png;tracker.csv;0.9119100752553362
1;seq6_frame173.png;tracker.csv;0.9342384991348489
1;seq6_frame174.png;tracker.csv;0.9290441618459249
1;seq6_frame175.png;tracker.csv;0.9062605240918463
1;seq6_frame176.png;tracker.csv;0.9117050764251674
1;seq6_frame177.png;tracker.csv;0.9323922910987231
1;seq6_frame178.png;tracker.csv;0.9032438840609573
1;seq6_frame179.png;tracker.csv;0.9205876099638424
1;seq6_frame180.png;tracker.csv;0.9230216786031327
1;seq6_frame181.png;tracker.csv;0.9232818739228538
1;seq6_frame182.png;tracker.csv;0.9216626995161241
1;seq6_frame183.png;tracker.csv;0.9380788148281681
1;seq6_frame184.png;tracker.csv;0.9229196782490485
1;seq6_frame185.png;tracker.csv;0.9209360783011198
1;seq6_frame186.png;tracker.csv;0.9218922452818614
1;seq6_frame187.png;tracker.csv;0.9318994001136732
1;seq6_frame188.png;tracker.csv;0.8796180218289968
1;seq6_frame189.png;tracker.csv;0.8938234999137126
1;seq6_frame190.png;tracker.csv;0.8907508878489045
1;seq6_frame191.png;tracker.csv;0.900690165179978
1;seq6_frame192.png;tracker.csv;0.9165332625886693
1;seq6_frame193.png;tracker.csv;0.9068282226367785
1;seq6_frame194.png;tracker.csv;0.4653103184469733
1;seq6_frame195.png;tracker.csv;0.2698143551864543
1;seq6_frame196.png;tracker.csv;0.46306006924262716
1;seq6_frame197.png;tracker.csv;0.4571751582262971
1;seq6_frame198.png;tracker.csv;0.44784373495059826
1;seq6_frame199.png;tracker.csv;0.9296459937363193
1;seq6_frame200.png;tracker.csv;0.9031451606343907
1;seq6_frame201.png;tracker.csv;0.8852177362092806
1;seq6_frame202.png;tracker.csv;0.4569216980363399
1;seq6_frame203.png;tracker.csv;0.3540760026338296
1;seq6_frame204.png;tracker.csv;0.37334022421881213
1;seq6_frame205.png;tracker.csv;0.9158302995681363
1;seq6_frame206.png;tracker.csv;0.45650857055826316
1;seq6_frame207.png;tracker.csv;0.3081135803673798
1;seq6_frame208.png;tracker.csv;0.46365892227222966
1;seq6_frame209.png;tracker.csv;0.4680603226360048
1;seq6_frame210.png;tracker.csv;0.46629057271758884
1;seq6_frame211.png;tracker.csv;0.45573737605318965
1;seq6_frame212.png;tracker.csv;0.464813351857401
1;seq6_frame213.png;tracker.csv;0.14884663565038167
1;seq6_frame214.png;tracker.csv;0.4532312925170068
1;seq6_frame215.png;tracker.csv;0.012105418792045538
1;seq6_frame216.png;tracker.csv;0.09941098374245139
1;seq6_frame217.png;tracker.csv;0.928127383986106
1;seq6_frame218.png;tracker.csv;0.45529570708922007
1;seq6_frame219.png;tracker.csv;0.46390105813354504
1;seq6_frame220.png;tracker.csv;0.4626568538252966
1;seq6_frame221.png;tracker.csv;0.4465160599391164
1;seq6_frame222.png;tracker.csv;0.46563627641157207
1;seq6_frame223.png;tracker.csv;0.45803395774527417
1;seq6_frame224.png;tracker.csv;0.4632057791482801
1;seq7_frame000.png;tracker.csv;0.7054783495197725
1;seq7_frame001.png;tracker.csv;0.8346544740700246
1;seq7_frame002.png;tracker.csv;0.8158046974430174
1;seq7_frame003.png;tracker.csv;0.8039228079046054
1;seq7_frame004.png;tracker.csv;0.7156544529880409
